dataset_id,name,modality,task,label_granularity,license,access_friction,url,notes
tcia:PROSTATE-MRI,PROSTATE-MRI,MRI,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:PSMA-PET-CT-Lesions,PSMA-PET-CT-Lesions,PET-CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Pancreas-CT,Pancreas-CT,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Pediatric-CT-SEG,Pediatric-CT-SEG,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Prostate Fused-MRI-Pathology,Prostate Fused-MRI-Pathology,MRI,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Prostate-MRI-US-Biopsy,Prostate-MRI-US-Biopsy,MRI,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:QIBA-CT-Liver-Phantom,QIBA-CT-Liver-Phantom,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:QIN Breast DCE-MRI,QIN Breast DCE-MRI,MRI,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:QIN LUNG CT,QIN LUNG CT,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:RIDER Breast MRI,RIDER Breast MRI,MRI,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:RIDER Lung CT,RIDER Lung CT,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:RIDER PHANTOM PET-CT,RIDER PHANTOM PET-CT,PET-CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:SPIE-AAPM Lung CT Challenge,SPIE-AAPM Lung CT Challenge,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Spine-Mets-CT-SEG,Spine-Mets-CT-SEG,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:4D-Lung,4D-Lung,mixed_or_unknown,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
